Week,depresyon: (Turkey)
2020-03-01,71
2020-03-08,62
2020-03-15,29
2020-03-22,47
2020-03-29,51
2020-04-05,53
2020-04-12,55
2020-04-19,67
2020-04-26,61
2020-05-03,57
2020-05-10,58
2020-05-17,69
2020-05-24,61
2020-05-31,65
2020-06-07,69
2020-06-14,40
2020-06-21,72
2020-06-28,45
2020-07-05,74
2020-07-12,66
2020-07-19,71
2020-07-26,51
2020-08-02,50
2020-08-09,51
2020-08-16,62
2020-08-23,65
2020-08-30,42
2020-09-06,64
2020-09-13,74
2020-09-20,76
2020-09-27,58
2020-10-04,58
2020-10-11,61
2020-10-18,49
2020-10-25,54
2020-11-01,64
2020-11-08,62
2020-11-15,66
2020-11-22,71
2020-11-29,60
2020-12-06,74
2020-12-13,78
2020-12-20,69
2020-12-27,67
2021-01-03,62
2021-01-10,70
2021-01-17,53
2021-01-24,72
2021-01-31,75
2021-02-07,68
2021-02-14,55
2021-02-21,80
2021-02-28,62
2021-03-07,68
2021-03-14,65
2021-03-21,57
2021-03-28,60
2021-04-04,89
2021-04-11,100
2021-04-18,81
2021-04-25,59
2021-05-02,70
2021-05-09,60
2021-05-16,71
2021-05-23,71
2021-05-30,97
2021-06-06,80
2021-06-13,56
