Week,psikolog: (Turkey)
2020-03-01,67
2020-03-08,50
2020-03-15,42
2020-03-22,43
2020-03-29,38
2020-04-05,32
2020-04-12,35
2020-04-19,36
2020-04-26,44
2020-05-03,42
2020-05-10,48
2020-05-17,51
2020-05-24,46
2020-05-31,52
2020-06-07,54
2020-06-14,57
2020-06-21,71
2020-06-28,62
2020-07-05,57
2020-07-12,61
2020-07-19,66
2020-07-26,58
2020-08-02,61
2020-08-09,67
2020-08-16,72
2020-08-23,63
2020-08-30,64
2020-09-06,89
2020-09-13,81
2020-09-20,83
2020-09-27,79
2020-10-04,78
2020-10-11,76
2020-10-18,100
2020-10-25,71
2020-11-01,64
2020-11-08,60
2020-11-15,71
2020-11-22,68
2020-11-29,60
2020-12-06,76
2020-12-13,72
2020-12-20,66
2020-12-27,62
2021-01-03,70
2021-01-10,69
2021-01-17,55
2021-01-24,86
2021-01-31,75
2021-02-07,75
2021-02-14,80
2021-02-21,81
2021-02-28,95
2021-03-07,75
2021-03-14,90
2021-03-21,77
2021-03-28,78
2021-04-04,74
2021-04-11,69
2021-04-18,67
2021-04-25,54
2021-05-02,47
2021-05-09,53
2021-05-16,88
2021-05-23,75
2021-05-30,80
2021-06-06,81
